,name,discription
528,                    dipropylene glycol                ,Synthetic slip agent and texture enhancer.
529,                    disodium cocoamphodiacetate                ,Mild detergent cleansing agent derived from coconut; most often used in facial cleansers.
530,                    disodium cocoyl glutamate                ,A cleansing agent derived from coconut.
531,                    disodium diglyceryl phosphate                ,Used as an emollient and thickening agent in cosmetics.
532,                    disodium EDTA                ,"Short for disodium ethylenediaminetetraacetic acid. Used as a chelating agent in cosmetic products, meaning it prevents ingredients in a formula from binding with trace elements (mainly minerals) that can be present in water. Studies have found that EDTAs, including disodium EDTA, as used in cosmetic formulations are safe.References for this information:European Commission Directorate General for Health and Consumers. Cosmetic Ingredient Glossary; Substance: Disodium EDTA. [Internet]. 2015 [cited 2015 Sept]. Available from: http://ec.europa.eu/growth/tools-databases/cosing/index.cfm?fuseaction=search.details_v2&id=33604International Journal of Toxicology, 2002, Supplement 2, pages 95-142"
533,                    disodium glyceryl phosphate                ,Used as an emollient and thickening agent in cosmetics.
534,                    disodium lauraminopropionate                ,A mild surfactant.
535,                    disodium lauriminodipropionate tocopheryl phosphates                ,"A complex mixture of esters formed from a blend of tocopherol phosphates with lauriminodipropionic acid. This blend is part natural, part synthetic and has multiple functions, including as a cleansing agent. Lauriminodipropionic acid is a propionic acid, a natural acid that is part of the degraded contents of sugar. It has mild preservative properties."
536,                    disodium rutinyl disulfate                ,A water-soluble derivative of the bioflavinoid rutin. Research shows rutin has both antioxidant and skin-soothing properties.
537,                    disteardimonium hectorite                ,"Used as a suspending agent, often with pigments."
538,                    DMAE                ,"DMAE, also known as dimethyl MEA, is a derivative of the B vitamin choline. It has been around for years as an oral supplement that's popularly believed to improve mental alertness, much like Ginkgo biloba and coenzyme Q10. However, the research about DMAE does not show the same positive results as the other two supplements. Because DMAE is chemically similar to choline, DMAE is thought to stimulate production of acetylcholine. And because acetylcholine is a brain neurotransmitter, it's easy to see how it could be associated with brain function. However, only a handful of studies have looked at DMAE for that purpose and they have not been conclusive in the least, while some have shown that DMAE may be problematic or not very effective.It’s a controversial ingredient for skin because research has shown conflicting results. It seems to offer an initial benefit that improves skin firmness, but these results are short-lived and eventually give way to destruction of the substances in skin that help keep it firm. DMAE may also have skin-calming effects.Interestingly, there is a formulation challenge when including DMAE in skincare products. To maintain the efficacy and stability of DMAE, the product’s pH level must be at least 10. A pH of 10 is highly alkaline, which isn’t good news for skin. Moreover, because almost all moisturizers (including serums and eye creams) are formulated with a pH that closely matches that of human skin (generally 5.5–6.5, which is on the acidic side of the scale), in all likelihood the DMAE included in skincare products cannot have any prolonged functionality.References for this information:Pharmazie, December 2009, pages 818-822Journal of Drugs in Dermatology, Supplement 72, 2008, pages S17–S22Aesthetic Plastic Surgery, November-December 2007, pages 711–718British Journal of Dermatology, March 2007, pages 433-439American Journal of Clinical Dermatology, Volume 6, 2005, pages 39–47European Journal of Medical Research, May 2003, pages 183–191Mechanisms of Aging and Development, February 1988, pages 129–138"
539,                    DMDM hydantoin                ,"Synthetic, formaldehyde-releasing preservative that has mixed research on its potential to aggravate skin. Despite its connection to formaldehyde, the Cosmetic Ingredient Review Board has confirmed the safety of this preservative in three separate reviews, each spaced several years apart.References for this information:Medocyna Pracy, Volume 66, Issue 3, 2015, pages 327-332Contact Dermatitis, January 2010, pages 18-31http://www.cosmeticsinfo.org/ingredient/dmdmhydantoin"
540,                    docosahexaenoic acid                ,
541,                    dog rose                ,
542,                    dogwood                ,"There is a small amount of research showing that dogwood has antioxidant and skin-soothing properties.References for this information:Journal of Agricultural Food Chemistry, April 2002, issue 9, pages 2519–2523"
543,                    Dromiceius oil                ,
544,                    dulse                ,
545,                    Dunaliella salina extract                ,"A type of micro-algae that’s known for being adaptable and able to survive even in harsh natural conditions. It’s a rich source of beta-carotene, and conveys potent antioxidant benefits that can benefit skin. Dunaliella salina extract is also a natural source of vitamin B12. References for this information: Pharmaceutical Biology, October 2016, pages 2,269-2,275 Journal of Food Science and Technology, January 2016, pages 888-894 Indian Journal of Pharmaceutical Sciences, November-December 2013, pages 642-648"
546,                    durian                ,"A tropical fruit that contains high levels of antioxidants such as caffeic acid and quercetin, and likely has topical benefit as well, though this hasn’t been proven.References for this information:Food and Chemical Toxicology, February 2008, issue 2, pages 581-589Journal of Agricultural and Food Chemistry, July 2007, issue 14, pages 5842-5849"
547,                    Durvillaea antarctica extract                ,Extract derived from a species of algae (Durvillea antarctica).
548,                    ecamsule                ,Sunscreen ingredient that provides UVA protection. Technical name is terephthalylidene dicamphor sulfonic acid.
549,                    Echium plantagineum seed oil                ,"A novel, non-fragrant plant oil that's a rich source of saturated fatty acids and phospholipids for skin.Referencse for this information:Colloids and Surfaces, April 2014, pages 88–92Food Chemistry, October 2012, pages 2,057-2,065"
550,                    Eclipta prostrata extract                ,"An annual plant common to Korea, Eclipta prostrata has potent antioxidant and skin-calming properties. Also known as false daisy, this non-fragrant plant is a member of the sunflower family.References for this information:Applied Sciences, November 2017, pages 1-10Oxidative Medicine and Cellular Longevity, January 2017, ePublicationThe Scientific World Journal, February 2014, ePublication"
551,                    ectoin                ,"Skin-softening agent that also functions in cosmetics as a stabilizer. There is limited research demonstrating that ectoin helps protect skin from UVA damage and has efficacy and application characteristics that women tend to prefer in moisturizers. However, the research did not reveal to what the effects of ectoin were compared, or whether or not other ingredients (such as green tea or pomegranate extracts) may provide even better protection from environmental damage.References for this information:Skin Pharmacology and Physiology, May 2007, pages 211–218, and September/October 2004, pages 232–237"
552,                    EDTA                ,"EDTA is short for ethylenediamine tetraacetic acid, a stabilizer used in cosmetics to prevent ingredients in a given formula from binding with trace elements (particularly minerals) that can be present in water. EDTA also keeps other ingredients from causing unwanted changes to a product’s texture, odor, and/or consistency. Ingredients that perform this function are known as chelating agents. Common examples of EDTA ingredients are disodium EDTA and tetrasodium EDTA.See chelating agentReference for this information:International Journal of Toxicology, 2002, pages 95-142"
553,                    egg yolk                ,"Egg yolk is mostly water and lipids (fats), especially cholesterol, which makes it a good emollient and replenishing ingredient for skin."
554,                    eicosapentaenoic acid                ,"Fatty acid derived from salmon oil; it is a good emollient and replenishing for skinReferences for this information:European Journal of Dermatology, July-August 2007, pages 284–291Journal of Lipid Research, May 2006, pages 921–930"
555,                    Elaeis guineensis                ,
556,                    elderberry                ,"Also known as black elderberry or Sambucus nigra,  this plant has potent antioxidant properties due to the flavonoid compounds naturally present. Elderberry also has skin-soothing effects.References for this information:Journal of Agricultural and Food Chemistry,  September 2010, pages 143-146; and December 2004, pages 7,846-7,856Free Radical Biology and Medicine, July 2000, pages 51–60"
557,                    elecampane                ,"Latin name Inula helenium; it is a plant that can be very sensitizing to skin. In cosmetics, this ingredient is most often added for its fragrance. Thisplant can cause allergic reactions for those allergic to plants in the ragweed family.Reference for this information:Herbal Medicine: A Guide for Healthcare Professionals. London, UK: The Pharmaceutical Press, 1996."
558,                    ellagic acid                ,"Potent antioxidant compound found in pomegranate and most berries.References for this information:Experimental Dermatology, August 2010, pages 182–190Journal of Cosmetic Science, May-June 2010, pages 211-224International Journal of Cosmetic Science, August 2000, pages 291–303"
559,                    emollient                ,"Supple, waxlike, lubricating, thickening agent that prevents water loss and has a softening and soothing effect on skin. Examples of emollients are ingredients like plant oils, mineral oil, shea butter, cocoa butter, petrolatum, and fatty acids (animal oils, including emu, mink, and lanolin, the latter probably the one ingredient that is most like our own skin’s oil). More technical-sounding emollient ingredients, such as triglycerides, benzoates, myristates, palmitates, and stearates, are generally waxy in texture and appearance but provide most moisturizers with their elegant texture and feel."
560,                    emulsifier                ,"In cosmetics, an emulsifier includes any ingredient that helps keep unlike ingredients (such as oil and water) from separating in an emulsion. Examples of cosmetics ingredients that function as emulsifiers include polysorbates, laureth-4, and potassium cetyl sulfate.Emulsifiers are widely used throughout the cosmetics industry and are the unsung heroes of many cosmetics formulas that blend and help to keep unlike ingredients together. There is also research showing they can help enhance the absorption of skincare ingredients and may be useful for prolonged topical delivery.Reference for this information:Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement, 2015, pages 223-241"
561,                    emu oil                ,"The emu (Dromaius novaehollandiae) is a large, flightless bird indigenous to Australia. The oil contains several fatty acids, including myristic, palmitic, oleic, linoleic, and linolenic acids. Emu oil has become an important component of the Australian economy. As a result there is research from that part of the world showing it to be a good emollient that can help restore skin. But along with the evidence that emu oil is a good emollient and the parade of companies promoting it for that, there are also companies promoting products containing emu oil for its antiaging properties.So does emu oil live up to these acclaimed properties? Regrettably, none of these promises are supported by research. A study looked at the ""Cosmetic and moisturizing properties of Emu oil... assessed in a double-blind clinical study. Emu oil in comparison to mineral oil was found overall to be more cosmetically acceptable and had better skin penetration/permeability.""Like many ingredients, it has soothing, emollient properties, but it isn’t the miracle marketers make it out to be. Emu oil's reputation is driven mostly by claims made by companies selling products that contain it, and not by any real proof that it is an essential requirement for skin.Reference for this information:Australasian Journal of Dermatology (August 1996, pages 159–161"
562,                    English ivy extract                ,"Can be a skin sensitizer due to its astringent properties, especially for those who suffer from allergies or have dry skin conditions. Compared to other allergenic or sensitizing plant extracts, English ivy has a lower risk of causing a reaction.References for this information:Revista Alergia Mexico, July-September 2013, pages 105-109Hautzart, October 2003, pages 966-969"
563,                    Enteromorpha compressa extract                ,Extract from green algae.
564,                    environmental damage                ,"Occurrence that takes place at an atomic level and is a complex physiological process. Molecules are comprised of atoms. Atoms comprise all matter. Atoms are made up of protons, neutrons, and electrons. Electrons occur in pairs, and when an element only has a few paired electrons it can easily become unstable.Oxygen and oxides are primary examples of potential unstable elements in our environment. When oxygen interacts with skin (and because the air we breathe is 20% oxygen, that happens all the time), it almost always loses one of its electrons. This oxygen molecule, which now is minus one electron, is a damaging environmental factor.Because it is now unstable, the oxygen molecule quickly finds another electron, and it does this by taking an electron from another molecule in the skin, which is usually a healthy substance such as antioxidants in the skin. Antioxidants have lots of electrons to spare. Once those substances are robbed of all their electrons they break down and are destroyed. Oxygen molecules (or other potentially damaging environmental factors) attempting to replenish themselves in this way trigger a cascading event. The reactions that cause environmental damage take place in mere fractions of a second. Antioxidants are substances that prevent oxidative damage from beginning.The primary causes of environmental damage on skin are pollution, air, cigarette smoke, herbicides, and solvents (such as alcohol). Antioxidants are a way to potentially neutralize these effects via topical application."
565,                    enzymes                ,"Vast group of proteins, produced by all living things, that act alone or with other ingredients as catalysts in chemical and biological reactions. Enzymes are divided into six main categories: oxidoreductases, transferases, hydrolases, lyases, isomerases, and ligases. The names of most, but not all, enzymes end in –ase.Enzymes are used in skincare products to prompt exfoliation. Most enzymes are finicky about how and under what conditions they will act. Sometimes several enzymes are required to carry out a particular  reaction, and their actions are affected by temperature and pH. Some enzymes depend on the presence of other enzymes, called coenzymes, to function, or they depend on a specific body temperature. It would require an exceptionally complicated process to stimulate enzyme activity via topical application to skin.References for this information:Annals of Clinical and Laboratory Science, March-April 1977, pages 93-98Journal of Proteome Research, May-June 2005, pages 967-971International Journal of Cosmetic Science, April 2000, pages 85-94"
566,                    epigallocatechin gallate                ,"One of the active constituents of green tea believed to be responsible for its many health and appearance benefits, both orally and topically. The chief benefit of epigallocatechin-3-gallate is skin-soothing and antioxidant.References for this information:Rheumatology, July 2010 EpublicationFood and Chemical Toxicology, April 2008, pages 1,298-1,307"
567,                    Epilobium angustifolium extract                ,"Extract derived from a plant commonly known as fireweed or willow herb. It is known to have soothing and antioxidant effects on skin.References for this information:Phytomedicine, May 2011, pages 557–560Journal of Agricultural Food Chemistry, October 1999, pages 3,954–3,962"
568,                    Equisetum arvense                ,
569,                    ergocalciferol                ,"Technical name for vitamin D, also known as vitamin D2."
570,                    ergothioneine                ,"A substance derived from animals or various types of mushrooms that has potent antioxidant and skin-soothing properties.References for this information:Journal of Cosmetic Dermatology, September 2007, pages 183–188Biomedicine and Pharmacotherapy, September 2006, pages 453–457Biochemical and Biophysical Research Communications, March 2003, pages 860-864Food and Chemical Toxicology, November 1999, pages 1043–1053"
571,                    Eriobotrya japonica                ,
572,                    erythrulose                ,"Substance chemically similar to the self-tanning agent dihydroxyacetone. Depending on your skin color, there can be a difference in the color with erythrulose. Erythrulose needs about two to three days for the skin to show a color change, while dihydroxyacetone completely changes the color of skin within two to six hours. For this reason, most products that contain erythrulose also contain dihydroxyacetone.Reference for this information:Journal of Clinical and Aesthetic Dermatology, August 2015, pages 43-47"
573,                    esculin                ,"Component of horse chestnut, it is considered a sensitizing and is not recommended for skin, but can have benefits when consmed orally.Refernece for this information:Clinical Pharmacology, 2002, http://cponline.hitchcock.org"
574,                    essential oil                ,
575,                    ester                ,"A compound formed from the reaction between an alcohol and an acid via the elimination of water. Triesters (groups of three esters) form the backbone of many fats, waxes, and oils that have emollient and skin-conditioning properties. Almost all of the esters used in cosmetic products are non-sensitizing and in most cases are quite beneficial for dry skin.Reference for this information:A Dictionary of Chemistry, Third Edition, Oxford Paperback, 1996"
576,                    Ester-C                ,"Trade name for a combination form of vitamin C that contains mainly calcium ascorbate, but in addition contains small amounts of the vitamin C metabolites dehydroascorbic acid (oxidized ascorbic acid), calcium threonate, and trace levels of xylonate and lyxonate.The manufacturer of this ingredient states that the metabolites, especially threonate, increase the effectiveness of the vitamin C in the product. However, this study has not been published in a peer-reviewed journal. There is a small, in vitro study that supports the notion that Ester-C is more potent than ascorbic acid by itself.Reference for this information:Medical Science Monitor, October 2007, pages 205–210"
577,                    ethanol                ,
578,                    ethoxydiglycol                ,
579,                    ethyl alcohol                ,
580,                    ethyl hexanediol                ,"A synthetic, viscous alcohol that functions as a solvent and can also be a fragrance ingredient. Considered safe for use in cosmetics in concentrations up to 5%. Ethyl hexanediol is most commonly used in haircare products and cleansers. Interestingly, higher amounts of this ingredients are sometimes used as an insect repellant.References for this information:Veterinary and Human Toxicology, February 1995, pages 33-36International Journal of Toxicology, December 1994, pages 428-436"
581,                    ethylhexylglycerin                ,"A synthetic skin-softening agent also used as a preservative, a carrier, or suspending agent for other preservatives such as phenoxyethanol.Reference for this information:PLoS One, October 2016"
582,                    ethylhexyl methoxycinnamate                ,See octinoxate
583,                    ethylhexyl olivate                ,"A natural ester of skin-conditioning fatty acids derived from olive oil. It can have an occlusive effect on skin, but that does not mean skin is suffocating; rather, the occlusive nature helps keep vital hydrating substances in skin from escaping, such as can occur in a dry (arid) environment. References for this information:American Journal of Clinical Dermatology, February 2018, pages 103-117International Journal of Molecular Sciences, December 2017, ePublication; and March 2012, pages 3,291-3,340"
584,                    ethylhexyl palmitate                ,"Mixture of a fatty alcohol and palmitic acid that functions as an emollient and texture enhancer. There’s no research indicating this ingredient, which may be synthetic, plant-, or animal-derived, is a problem for skin.See emollient , ester"
585,                    ethylhexyl stearate                ,
586,                    ethylparaben                ,"Parabens are a group of controversial preservatives that include butylparaben, isobutylparaben, propylparaben, methylparaben, and ethylparaben. All of these were at one time the most widely used group of preservatives used in cosmetics. Parabens were so popular because of their gentle, non-sensitizing, and highly effective profile in comparison to other preservatives but also because they were derived naturally from plants, a rare phenomenon for a preservative. Parabens are found in plants in the form of p-hydroxybenzoic acid (PHBA), a chemical that breaks down to become parabens for a plants own protection. Over the past 10 years parabens have become criticized and condemned for use in cosmetics due to their alleged relation to health concerns affecting women and men. The research about parabens is conflicting and polarizing. Some research indicates they are safe as used in cosmetics and are preferred over other preservatives to keep a formula stable. These studies also showed parabens did not have any effect when compared to natural hormones in the body. However, other research has concluded they are indeed problematic: Some studies determined a 100% concentration of parabens caused skin samples (meaning not intact skin on a person) to break down. However, these studies don’t apply to the tiny amount (1% or less) of parabens typically used in cosmetics. In low amounts, parabens were not shown to harm skin; in fact, they offer a benefit due to their ability to thwart the growth of mold, fungi, and harmful pathogens. Other studies casting parabens in a negative light were based on force-feeding them to rats, a practice that is not only cruel but unrelated to what happens when parabens are applied to skin. There are studies indicating absorption of parabens through skin associated with application of skincare products, but those studies did not take into consideration that parabens are still used as food-grade preservatives or found naturally in plants and that could have been the source not the cosmetics. We also looked at studies showing other questionable effects but those were done in vitro meaning in a petri dish or, again, animal studies in species whose biologic makeup does not closely relate to people.We appreciate the concern about parabens and understand if people choose to avoid them. At Paula’s Choice Skincare we use parabens in a very limited number of products, but that decision is based on other reasons than the scare tactics rampant on the internet. For transparency, we list all ingredients on individual product pages and packaging and our Client Services team is always happy to help.   References for this information: Journal of Exposure Science and Environmental Epidemiology, May 2017, 320-325 Annual Review of Food Science Technology, February 2017, pages 371-390 Journal of Applied Toxicology, April 2017, ePublication Environmental Science and Technology, April 2017, page 4009-4017 Dermatitis, November-December 2015, pages 254-259 Toxicology Letters, December 2013, pages 295-305 Skin Therapy Letter, July-August 2013, pages 5-7 Journal of Agricultural Food Chemistry, June 2008, pages 4631-4636 International Journal of Toxicology, April 2008, pages 1-82 http://www.cosmeticsinfo.org/paraben-information"
587,                    ethyl vanillin                ,"Flavoring agent derived from vanilla. It has antioxidant properties.Reference for this information: Journal of Agricultural and Food Chemistry, April 2004, pages 1872–1881"
588,                    eucalyptus extract                ,"Extract that may have a variety of benefical properties on the skin. Despite those benefits, it's also a skin sensitizer, particularly on abraded skin.References for this information:Skin Pharmacology and Applied Skin Physiology, January–February 2000, pages 60–64Clinical Experimental Dermatology, March 1995, pages 143–145www.alternativedr.com/conditions/ConsHerbs/Eucalyptusch.html"
589,                    eucalyptus oil                ,"Fragrant plant oil whose active constituents are found in the leaves and in the oil obtained from them. The oil has benefits for skin, but is also a potent skin sensitizer due to its chemical components. Truly a mixed bag, this oil, like rosemary oil, has benefits and risks. Low amounts of eucalyptus oil do not seem to pose a risk of sensitivity in the general population, but its fragrance components are known sensitizers.References for this information:Basic and Clinical Pharmacology and Toxicology, June 2006, pages 575-581Asian Pacific Journal of Tropical Biomedicine, August 2015, pages 601-611"
590,                    Eugenia aromatica                ,
591,                    Eugenia caryophyllus                ,
592,                    eugenol                ,"Volatile fragrance chemical that occurs naturally in cloves, basil, and bay leaves, among other plants. Eugenol is often part of the fragrance in cosmetics products, and is known to cause sensitivity. It is best to avoid leave-on products that contain eugenol.References for this information:Toxicology, September 2012, pages 20-24Molecules, June 2012, pages 6,953-6,981Cell Proliferation, August 2006, pages 241-248"
593,                    Euphorbia cerifera wax                ,
594,                    Euphrasia officinalis                ,
595,                    Euterpe oleracea fruit extract                ,
596,                    evening primrose oil                ,"Non-fragrant plant oil whose fatty acids can have significant skin-soothing and emollient benefits for skin. It can also help other ingredients absorb more readily into skin. Reference for this information:Journal of Pharmaceutical Sciences, January 2016, pages 188-193Annals of Dermatology, December 2014, pages 706-712"
597,                    Evodia rutaecarpa extract                ,"A species of Asian tree whose fragrant fruit functions as a good skin-soothing agent in traditional Chinese medicine, an assertion which has been proven via topical application to human skin.References for this information:European Journal of Pharmacology, January 2007, pages 211-217Journal of Dermatological Science, April 2006, pages 13-21Planta Medica, October 2004, pages 904-908"
598,                    Ext. D&C                ,"Type of coloring agent. According to the FDA's website (www.fda.gov), when"" Ext. D&C"" is followed by a color, it means that the color is certified as safe for use only in drugs and cosmetics meant for external use, but not around the eyes or mouth. These types of coloring agents is not safe for foods."
599,                    eyebright                ,"A plant; although the name sounds like it would be beneficial for the eye area, there are no studies demonstrating it has any benefit for the skin around the eye area. Health benefits of eyebright are largely anecdotal, though it's possible this plant's tannin content could aggravate skin."
600,                    faex                ,"A type of compressed yeast. ""Faex"" is the ingredient designation required by European Union regulations."
601,                    farnesol                ,"Extract of plants that is used in cosmetics primarily for fragrance. It may have some antioxidant properties, but there is no research showing it has any benefit on skin. "
602,                    farnesyl acetate                ,
603,                    fatty acid                ,"Substance typically found in plant and animal lipids (fat). Fatty acids include compounds such as glycerides, sterols, and phospholipids. They are used in cosmetics as emollients, texture enhancers, and, when mixed with glycerin, cleansing agents.References for this information:Free Radical Research, April 2002, pages 471–477Journal of Lipid Research, May 2002, pages 794–804"
604,                    fatty alcohol                ,Made from fatty acids; fatty alcohols are used in cosmetics as thickening agents and emollients. They are not the drying or sensitizing forms of alcohol.
605,                    FD&C                ,"Type of coloring agent. According to the FDA, when FD&C is followed by a color, the color is certified as safe for use in food, drugs, and cosmetics."
606,                    FD&C colors                ,"General term for any color additive deemed safe and FDA-approved for use in foods, drugs, and cosmetics. When an FD&C color is followed by the word “lake,” it means the color has been mixed with a mineral (most commonly calcium or aluminum) to make the color insoluble (not affected by water). For example, “FD&C Blue No. 1–Aluminum Lake” means that the color FD&C Blue No. 1 has been combined with aluminum. Lake colors are used for candies and for dyes used to color Easter eggs, among countless cosmetics applications.The current group of FD&C colors has been extensively studied, with many classified as “permanently approved” for use in drugs and foods. Some FD&C colors, such as Blue 1 and Blue 2, are derivatives of coal tar and can cause allergic reactions, although the amounts used in items such as lipsticks typically are lower than the amounts used for other types of coloring agents. No coal tar colors are permitted in products for use around the eyes, and every batch of coal tar color must be deemed safe before it can be used in foods, drugs, or cosmetics.Any coloring agent used in eye makeup must be specifically approved for that purpose by the FDA.The color of cosmetics products is often an emotional pull for many consumers. A soft pink lotion can denote a moisturizer meant to calm or soothe skin, while a bright yellow balm may be deemed energizing. Whether natural or synthetic, coloring agents in skincare products serve no purpose other than to create a perception or an emotional response to the product. Coloring agents used in makeup are a different story, as they’re used to create an endless kaleidoscope of shades.Reference for this information:U.S. Food and Drug Administration. Color Additive Status List. [Internet]. 2015 [cited 2015 July]. Available from: http://www.fda.gov/ForIndustry/ColorAdditives/ColorAdditiveInventories/ucm106626.html"
607,                    fennel oil                ,"Volatile, fragrant oil that can cause skin sensitivity due to its high content of fragrant chemical limonene.Reference for this information:https://hort.purdue.edu/newcrop/proceedings1993/V2-579.html"
608,                    fennel seed extract                ,"Can have antioxidant properties, but on skin it can be a skin sensitizer and photosensitizer (Source: www.naturaldatabase.com)."
609,                    ferric ammonium ferrocyanide                ,"Inorganic salt of ferric ferrocyanide used as a coloring agent in cosmetics for application to skin and eye area, but not to the lips. Like all cosmetic coloring agents, this one is subject to strict regulations controlling its use."
610,                    ferric ferrocyanide                ,"Coloring agent, also known as Iron Blue, used in cosmetics products, including those designed for use around the eye. Permanently listed (since 1978) by the FDA as safe.Reference for this information:U.S. Food and Drug Administration. Color Additive Status List. [Internet]. 2015 [cited 2015 July]. Available from: http://www.fda.gov/ForIndustry/ColorAdditives/ColorAdditiveInventories/ucm106626.htm."
611,                    Ferula galbaniflua                ,
612,                    ferulic acid                ,"Plant-based, phenolic antioxidant that is found in bran, among other plants.Research has shown that it provides antioxidant benefits to skin while enhancing the stability of topical applications of antioxidant vitamins C and E. It also helps defend skin against environmental assault.References for this information:Food and Chemical Toxicology, March 2014, pages 185-195The Journal of Nutritional Biochemistry, May 2012, pages 443-451International Journal of Pharmaceutics, October 2010, pages 44-51Journal of Clinical Biochemistry and Nutrition, March 2007, pages 92-100Journal of Investigative Dermatology, October 2005, pages 826-832"
613,                    feverfew extract                ,"Extract that can be very soothing to skin but also potentially sensitizing if a specific constituent of the feverfew plant known as parthenolide (technically, sesquiterpene lactone) is present. If the parthenolide is removed from feverfew, the ingredient is not a problem for skin and may actually be beneficial because parthenolide-free feverfew has potent skin-soothing properties and can help to diminish redness.If a skincare product contains feverfew, you must contact the company to confirm that the feverfew in their products is parthenolide-free. Note: All Paula's Choice products that contain feverfew are parthenolide-free.References for this information:Journal of Dermatological Sciences, December 2013, pages 304-31Pharmacognosy Review, January-June 2011, pages 103-110Archives of Dermatologic Research, February 2008, pages 69-80"
614,                    fibronectin                ,"Type of protein known as a glycoprotein (protein + carbohydrate) that's naturally found in the skin. Fibronectin’s deterioration from external factors is an element in skin aging and wrinkling. As is true for all proteins, regardless of their origin, it's a good water-binding agent for skin. However, applying it topically doesn’t help the fibronectin in your skin."
615,                    Ficus carica fruit extract                ,
616,                    fig                ,"Fruit that contains psoralens, which are compounds that may cause skin to react when it's exposed to UV light. Topical application can cause sensitizing reactions, making fig an ingredient to avoid in leave-on skincare products.References for this information:Food and Function, December 2015, pages 3,663-3,677Journal of Natural Products, July 2001, pages 993-996"
617,                    Filipendula glaberrima                ,"Also known as Nakai, the root of this plant extract has been shown to be a potent antioxidant.Reference for this information:Journal of Cosmetic Science, January/February 2007, pages 19-32."
618,                    Filipendula rubra                ,
619,                    film-forming agent                ,"Large group of ingredients typically found in haircare products, but that also are widely used in skincare products, particularly moisturizers. Film-forming agents include PVP, acrylates, acrylamides, methacrylates, and various copolymers. When applied they leave a pliable, cohesive, and continuous covering over the hair or skin. The film has water-binding properties and leaves a smooth feel on skin. Film-forming agents can be weak skin sensitizers, but this almost always depends on the amount used; lower amounts generally are not problematic.  "
620,                    fireweed extract                ,Extract from the Epilobium angustifolium plant; also known as willow herb.
621,                    fir needle oil                ,"Volatile, fragrant oil that can cause skin sensitivity. According to the Natural Medicines Comprehensive Database, ""The essential oil also acts as a rubefacient (counterirritant) and improves circulation when applied externally."" A counterirritant is defined as any ingredient that causes sensitization or a mild swelling of the skin to alleviate uncomfortable symptoms deeper within skin.Reference for this information:PDR for Herbal Medicines. 1st ed. Montvale, NJ: Medical Economics Company, Inc., 1998"
622,                    fish cartilage extract                ,"May have water-binding properties, but there is no research showing that this has any benefit for skin."
623,                    flavonoid                ,
624,                    flavor                ,"According to the U.S. Food and Drug Administration, the term ""flavor"" on a product label signifies ""any natural or synthetic substance or substances used solely to impart a taste to a cosmetic product."" In Europe, the labeling name for flavor is ""aroma"". The term ""flavor"" is used most often for lip-care products and lip cosmetics (think lipstick, lip gloss).Although it is basically synonomous with fragrance, listing ""flavor"" on products meant for application to lips is more appealing (who wants to think of ingesting fragrance?). Given that flavor can be composed of numerous ingredients, it's a gamble as to whether or not lips will experience sensitivity. Most lip plumpers listing flavor tend to use that term to encompass flavoring agents that can have a sensitizing effect of lips, such as various types of pepper, ginger, or various forms of mint."
625,                    flax                ,"Plant source of linen and edible seeds. Flax seeds and seed oil have antioxidant properties. The seeds are also a source of essential fatty acid linolenic acid.Reference for this information:Biofactors, 2000; volume 13, pages 179–185)"
626,                    flaxseed oil                ,"From seeds of the flax plant; a natural source of essential fatty acids, particularly omega-3."
627,                    floralozone                ,One of a number of synthetic fragrant components.Reference for this information:http://perfumersupplyhouse.com/wp-content/uploads/2014/05/FLORALOZONE-OSHA-MSDS.pdf
628,                    Foeniculum vulgare extract                ,
629,                    folic acid                ,"Part of the B-vitamin complex; when taken orally, it is a good antioxidant. That benefit has not been demonstrated when it is applied topically on skin."
630,                    formaldehyde-releasing preservative                ,"Common type of preservative found in cosmetics. Despite some claims, there is no higher level of skin reaction to formaldehyde-releasing preservatives than to other preservatives. In fact, there is a far greater risk to skin from a product without preservatives, because of the contamination and unchecked growth of mold that can result if no preservatives are used.However, there is concern that when formaldehyde-releasing preservatives are present in a formulation that also includes amines, such as triethanolamine (TEA), diethanolamine (DEA), or monoethanolamine (MEA), nitrosamines can be formed. Nitrosamines are harmful substances that can potentially penetrate skin. Whether or not that poses a health risk of any kind has not been established.References for this information:British Journal of Dermatology, March 1998, pages 467–476Fundamentals and Applied Toxicology, August 1993, pages 213–221"
631,                    fragrance                ,"One or a blend of volatile and/or fragrant plant oils (or synthetically derived oils) that impart aroma and odor to products. These are often skin sensitizers because they are composed of hundreds of individual chemical components. Fragrance is a leading source of sensitivity to cosmetics.References for this information:Biochimica and Biophysica Acta, May 2012, pages 1,410-1,419Aging, March 2012, pages 166-175Chemical Immunology and Allergy, March 2012, pages 77-80Experimental Dermatology, October 2009, pages 821-832International Journal of Toxicology, Volume 27, 2008, Supplement pages 1-43Food and Chemical Toxicology, February 2008, pages 446—475Skin Pharmacology and Physiology, 2008, issue 4, pages 191-202American Journal of Clinical Dermatology, 2003, issue 11, pages 789-798Skin Pharmacology and Physiology, 2008, issue 4, pages 191-202"
